product,rating,rating count,price,product url
"Columbia Women’s Chatfield Hill Winter Jacket, Water repellent & Breathable  ",4.6 out of 5 stars,"1,233  ",119.99,https://amazon.com/Columbia-Womens-Chatfield-Jacket-Medium/dp/B08MV8ZZHQ/ref=sr_1_46?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-46
Amazon Essentials Women's Lightweight Long-Sleeve Full-Zip Water-Resistant Packable Hooded Puffer Jacket  ,4.5 out of 5 stars,"13,554  ",43.8,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMP87NF/ref=sr_1_48?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-48
Arctix Girls Jackalope Insulated Winter Jacket  ,4.7 out of 5 stars,"1,619  ",67.0,https://amazon.com/Arctix-Jackalope-Insulated-Winter-X-Large/dp/B078YJ7X1Z/ref=sr_1_49?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-49
Columbia Men's Steens Mountain 2.0 Full Zip Fleece Jacket  ,4.7 out of 5 stars,"34,568  ",44.99,https://amazon.com/Columbia-Steens-Mountain-Fleece-Classic/dp/B0084AWSW6/ref=sr_1_51?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-51
Simple Joys by Carter's Toddlers and Baby Boys' Puffer Jacket  ,4.7 out of 5 stars,"1,934  ",31.4,https://amazon.com/Simple-Joys-Carters-Toddler-Puffer/dp/B083XF5R7Y/ref=sr_1_52?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-52
Arctix Girls Frost Insulated Winter Jacket  ,4.7 out of 5 stars,"1,097  ",69.99,https://amazon.com/Arctix-Insulated-Winter-Jacket-Island/dp/B07L4J9SLB/ref=sr_1_53?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-53
Amazon Essentials Women's Heavyweight Long-Sleeve Hooded Puffer Coat (Available in Plus Size)  ,4.5 out of 5 stars,"7,163  ",62.8,https://amazon.com/Amazon-Essentials-Womens-Standard-Heavy-Weight/dp/B07Q1D976W/ref=sr_1_55?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-55
Simple Joys by Carter's Toddlers and Baby Girls' Puffer Jacket  ,4.8 out of 5 stars,"1,999  ",31.4,https://amazon.com/Simple-Joys-Carters-Toddler-Puffer/dp/B083XHRM4M/ref=sr_1_56?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-56
Amazon Essentials Men's Sherpa Fleece Full-Zip Jacket  ,4.2 out of 5 stars,"1,361  ",30.5,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfYnRmOjIwMDAxOTUyOTYxNDQyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FAmazon-Essentials-Standard-Full-Zip-X-Small%2Fdp%2FB07P1DK56G%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-58-spons%26psc%3D1
"Jack Wolfskin Womens Lakeside Jacket W, Dusty Grey, S  ",4.4 out of 5 stars,5  ,48.02,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfYnRmOjIwMDA2ODQxNjA1NTkzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FJack-Wolfskin-Lakeside-Mosquito-Proof-Protection%2Fdp%2FB07K3RF4G1%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-59-spons%26psc%3D1
